threshold,sensitivity,specificity,accuracy,precision,f1,tn,fp,fn,tp,meets_constraints
0.07100000000000001,1.0,0.112,0.4365482233502538,0.39344262295081966,0.5647058823529412,14,111,0,72,False
0.07200000000000001,1.0,0.112,0.4365482233502538,0.39344262295081966,0.5647058823529412,14,111,0,72,False
0.073,1.0,0.112,0.4365482233502538,0.39344262295081966,0.5647058823529412,14,111,0,72,False
0.074,1.0,0.12,0.4416243654822335,0.3956043956043956,0.5669291338582677,15,110,0,72,False
0.075,1.0,0.12,0.4416243654822335,0.3956043956043956,0.5669291338582677,15,110,0,72,False
0.076,1.0,0.12,0.4416243654822335,0.3956043956043956,0.5669291338582677,15,110,0,72,False
0.077,1.0,0.128,0.4467005076142132,0.39779005524861877,0.5691699604743083,16,109,0,72,False
0.078,1.0,0.128,0.4467005076142132,0.39779005524861877,0.5691699604743083,16,109,0,72,False
0.079,1.0,0.128,0.4467005076142132,0.39779005524861877,0.5691699604743083,16,109,0,72,False
0.08,1.0,0.128,0.4467005076142132,0.39779005524861877,0.5691699604743083,16,109,0,72,False
0.081,1.0,0.128,0.4467005076142132,0.39779005524861877,0.5691699604743083,16,109,0,72,False
0.082,1.0,0.144,0.45685279187817257,0.4022346368715084,0.5737051792828686,18,107,0,72,False
0.083,1.0,0.144,0.45685279187817257,0.4022346368715084,0.5737051792828686,18,107,0,72,False
0.084,1.0,0.152,0.4619289340101523,0.4044943820224719,0.576,19,106,0,72,False
0.085,1.0,0.152,0.4619289340101523,0.4044943820224719,0.576,19,106,0,72,False
0.08600000000000001,1.0,0.16,0.467005076142132,0.4067796610169492,0.5783132530120482,20,105,0,72,False
0.08700000000000001,1.0,0.168,0.4720812182741117,0.4090909090909091,0.5806451612903226,21,104,0,72,False
0.088,1.0,0.184,0.48223350253807107,0.41379310344827586,0.5853658536585366,23,102,0,72,False
0.089,1.0,0.184,0.48223350253807107,0.41379310344827586,0.5853658536585366,23,102,0,72,False
0.09,1.0,0.192,0.4873096446700508,0.4161849710982659,0.5877551020408164,24,101,0,72,False
0.091,1.0,0.192,0.4873096446700508,0.4161849710982659,0.5877551020408164,24,101,0,72,False
0.092,1.0,0.192,0.4873096446700508,0.4161849710982659,0.5877551020408164,24,101,0,72,False
0.093,1.0,0.192,0.4873096446700508,0.4161849710982659,0.5877551020408164,24,101,0,72,False
0.094,1.0,0.192,0.4873096446700508,0.4161849710982659,0.5877551020408164,24,101,0,72,False
0.095,1.0,0.2,0.49238578680203043,0.4186046511627907,0.5901639344262295,25,100,0,72,False
0.096,1.0,0.2,0.49238578680203043,0.4186046511627907,0.5901639344262295,25,100,0,72,False
0.097,1.0,0.2,0.49238578680203043,0.4186046511627907,0.5901639344262295,25,100,0,72,False
0.098,1.0,0.2,0.49238578680203043,0.4186046511627907,0.5901639344262295,25,100,0,72,False
0.099,1.0,0.2,0.49238578680203043,0.4186046511627907,0.5901639344262295,25,100,0,72,False
0.1,1.0,0.208,0.49746192893401014,0.42105263157894735,0.5925925925925926,26,99,0,72,False
0.101,1.0,0.208,0.49746192893401014,0.42105263157894735,0.5925925925925926,26,99,0,72,False
0.10200000000000001,1.0,0.216,0.5025380710659898,0.4235294117647059,0.5950413223140496,27,98,0,72,False
0.10300000000000001,1.0,0.216,0.5025380710659898,0.4235294117647059,0.5950413223140496,27,98,0,72,False
0.10400000000000001,1.0,0.216,0.5025380710659898,0.4235294117647059,0.5950413223140496,27,98,0,72,False
0.105,1.0,0.216,0.5025380710659898,0.4235294117647059,0.5950413223140496,27,98,0,72,False
0.106,1.0,0.232,0.5126903553299492,0.42857142857142855,0.6,29,96,0,72,False
0.107,1.0,0.232,0.5126903553299492,0.42857142857142855,0.6,29,96,0,72,False
0.108,1.0,0.232,0.5126903553299492,0.42857142857142855,0.6,29,96,0,72,False
0.109,1.0,0.232,0.5126903553299492,0.42857142857142855,0.6,29,96,0,72,False
0.11,1.0,0.232,0.5126903553299492,0.42857142857142855,0.6,29,96,0,72,False
0.111,1.0,0.24,0.5177664974619289,0.4311377245508982,0.602510460251046,30,95,0,72,False
0.112,1.0,0.248,0.5228426395939086,0.43373493975903615,0.6050420168067226,31,94,0,72,False
0.113,1.0,0.248,0.5228426395939086,0.43373493975903615,0.6050420168067226,31,94,0,72,False
0.114,1.0,0.248,0.5228426395939086,0.43373493975903615,0.6050420168067226,31,94,0,72,False
0.115,1.0,0.248,0.5228426395939086,0.43373493975903615,0.6050420168067226,31,94,0,72,False
0.116,1.0,0.248,0.5228426395939086,0.43373493975903615,0.6050420168067226,31,94,0,72,False
0.117,1.0,0.248,0.5228426395939086,0.43373493975903615,0.6050420168067226,31,94,0,72,False
0.11800000000000001,1.0,0.248,0.5228426395939086,0.43373493975903615,0.6050420168067226,31,94,0,72,False
0.11900000000000001,1.0,0.248,0.5228426395939086,0.43373493975903615,0.6050420168067226,31,94,0,72,False
0.12,1.0,0.248,0.5228426395939086,0.43373493975903615,0.6050420168067226,31,94,0,72,False
0.121,1.0,0.256,0.5279187817258884,0.43636363636363634,0.6075949367088608,32,93,0,72,False
0.122,1.0,0.272,0.5380710659898477,0.44171779141104295,0.6127659574468085,34,91,0,72,False
0.123,1.0,0.28,0.5431472081218274,0.4444444444444444,0.6153846153846153,35,90,0,72,False
0.124,0.9861111111111112,0.296,0.5482233502538071,0.44654088050314467,0.6147186147186147,37,88,1,71,False
0.125,0.9861111111111112,0.304,0.5532994923857868,0.44936708860759494,0.6173913043478261,38,87,1,71,False
0.126,0.9861111111111112,0.304,0.5532994923857868,0.44936708860759494,0.6173913043478261,38,87,1,71,False
0.127,0.9861111111111112,0.32,0.5634517766497462,0.4551282051282051,0.6228070175438597,40,85,1,71,False
0.128,0.9861111111111112,0.32,0.5634517766497462,0.4551282051282051,0.6228070175438597,40,85,1,71,False
0.129,0.9861111111111112,0.328,0.5685279187817259,0.45806451612903226,0.6255506607929516,41,84,1,71,False
0.13,0.9861111111111112,0.328,0.5685279187817259,0.45806451612903226,0.6255506607929516,41,84,1,71,False
0.131,0.9861111111111112,0.328,0.5685279187817259,0.45806451612903226,0.6255506607929516,41,84,1,71,False
0.132,0.9861111111111112,0.328,0.5685279187817259,0.45806451612903226,0.6255506607929516,41,84,1,71,False
0.133,0.9861111111111112,0.328,0.5685279187817259,0.45806451612903226,0.6255506607929516,41,84,1,71,False
0.134,0.9861111111111112,0.328,0.5685279187817259,0.45806451612903226,0.6255506607929516,41,84,1,71,False
0.135,0.9861111111111112,0.328,0.5685279187817259,0.45806451612903226,0.6255506607929516,41,84,1,71,False
0.136,0.9861111111111112,0.328,0.5685279187817259,0.45806451612903226,0.6255506607929516,41,84,1,71,False
0.137,0.9861111111111112,0.344,0.5786802030456852,0.46405228758169936,0.6311111111111111,43,82,1,71,False
0.138,0.9861111111111112,0.352,0.583756345177665,0.46710526315789475,0.6339285714285715,44,81,1,71,False
0.139,0.9861111111111112,0.352,0.583756345177665,0.46710526315789475,0.6339285714285715,44,81,1,71,False
0.14,0.9861111111111112,0.352,0.583756345177665,0.46710526315789475,0.6339285714285715,44,81,1,71,False
0.14100000000000001,0.9861111111111112,0.352,0.583756345177665,0.46710526315789475,0.6339285714285715,44,81,1,71,False
0.14200000000000002,0.9861111111111112,0.352,0.583756345177665,0.46710526315789475,0.6339285714285715,44,81,1,71,False
0.14300000000000002,0.9861111111111112,0.36,0.5888324873096447,0.47019867549668876,0.6367713004484306,45,80,1,71,False
0.14400000000000002,0.9861111111111112,0.36,0.5888324873096447,0.47019867549668876,0.6367713004484306,45,80,1,71,False
0.145,0.9861111111111112,0.36,0.5888324873096447,0.47019867549668876,0.6367713004484306,45,80,1,71,False
0.146,0.9861111111111112,0.368,0.5939086294416244,0.47333333333333333,0.6396396396396395,46,79,1,71,False
0.147,0.9861111111111112,0.368,0.5939086294416244,0.47333333333333333,0.6396396396396395,46,79,1,71,False
0.148,0.9861111111111112,0.368,0.5939086294416244,0.47333333333333333,0.6396396396396395,46,79,1,71,False
0.149,0.9861111111111112,0.368,0.5939086294416244,0.47333333333333333,0.6396396396396395,46,79,1,71,False
0.15,0.9722222222222222,0.368,0.5888324873096447,0.4697986577181208,0.6334841628959276,46,79,2,70,False
0.151,0.9722222222222222,0.368,0.5888324873096447,0.4697986577181208,0.6334841628959276,46,79,2,70,False
0.152,0.9722222222222222,0.368,0.5888324873096447,0.4697986577181208,0.6334841628959276,46,79,2,70,False
0.153,0.9722222222222222,0.368,0.5888324873096447,0.4697986577181208,0.6334841628959276,46,79,2,70,False
0.154,0.9722222222222222,0.368,0.5888324873096447,0.4697986577181208,0.6334841628959276,46,79,2,70,False
0.155,0.9722222222222222,0.368,0.5888324873096447,0.4697986577181208,0.6334841628959276,46,79,2,70,False
0.156,0.9722222222222222,0.368,0.5888324873096447,0.4697986577181208,0.6334841628959276,46,79,2,70,False
0.157,0.9722222222222222,0.376,0.5939086294416244,0.47297297297297297,0.6363636363636364,47,78,2,70,False
0.158,0.9722222222222222,0.376,0.5939086294416244,0.47297297297297297,0.6363636363636364,47,78,2,70,False
0.159,0.9722222222222222,0.376,0.5939086294416244,0.47297297297297297,0.6363636363636364,47,78,2,70,False
0.16,0.9722222222222222,0.376,0.5939086294416244,0.47297297297297297,0.6363636363636364,47,78,2,70,False
0.161,0.9722222222222222,0.376,0.5939086294416244,0.47297297297297297,0.6363636363636364,47,78,2,70,False
0.162,0.9722222222222222,0.376,0.5939086294416244,0.47297297297297297,0.6363636363636364,47,78,2,70,False
0.163,0.9722222222222222,0.376,0.5939086294416244,0.47297297297297297,0.6363636363636364,47,78,2,70,False
0.164,0.9722222222222222,0.376,0.5939086294416244,0.47297297297297297,0.6363636363636364,47,78,2,70,False
0.165,0.9722222222222222,0.376,0.5939086294416244,0.47297297297297297,0.6363636363636364,47,78,2,70,False
0.166,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.167,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.168,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.169,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.17,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.171,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.17200000000000001,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.17300000000000001,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.17400000000000002,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.17500000000000002,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.176,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.177,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.178,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.179,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.18,0.9722222222222222,0.384,0.5989847715736041,0.47619047619047616,0.639269406392694,48,77,2,70,False
0.181,0.9722222222222222,0.392,0.6040609137055838,0.4794520547945205,0.6422018348623852,49,76,2,70,False
0.182,0.9722222222222222,0.392,0.6040609137055838,0.4794520547945205,0.6422018348623852,49,76,2,70,False
0.183,0.9722222222222222,0.392,0.6040609137055838,0.4794520547945205,0.6422018348623852,49,76,2,70,False
0.184,0.9722222222222222,0.392,0.6040609137055838,0.4794520547945205,0.6422018348623852,49,76,2,70,False
0.185,0.9722222222222222,0.392,0.6040609137055838,0.4794520547945205,0.6422018348623852,49,76,2,70,False
0.186,0.9722222222222222,0.392,0.6040609137055838,0.4794520547945205,0.6422018348623852,49,76,2,70,False
0.187,0.9722222222222222,0.392,0.6040609137055838,0.4794520547945205,0.6422018348623852,49,76,2,70,False
0.188,0.9722222222222222,0.392,0.6040609137055838,0.4794520547945205,0.6422018348623852,49,76,2,70,False
0.189,0.9722222222222222,0.392,0.6040609137055838,0.4794520547945205,0.6422018348623852,49,76,2,70,False
0.19,0.9722222222222222,0.392,0.6040609137055838,0.4794520547945205,0.6422018348623852,49,76,2,70,False
0.191,0.9722222222222222,0.392,0.6040609137055838,0.4794520547945205,0.6422018348623852,49,76,2,70,False
0.192,0.9722222222222222,0.392,0.6040609137055838,0.4794520547945205,0.6422018348623852,49,76,2,70,False
0.193,0.9722222222222222,0.392,0.6040609137055838,0.4794520547945205,0.6422018348623852,49,76,2,70,False
0.194,0.9722222222222222,0.4,0.6091370558375635,0.4827586206896552,0.6451612903225807,50,75,2,70,False
0.195,0.9722222222222222,0.4,0.6091370558375635,0.4827586206896552,0.6451612903225807,50,75,2,70,False
0.196,0.9722222222222222,0.4,0.6091370558375635,0.4827586206896552,0.6451612903225807,50,75,2,70,False
0.197,0.9722222222222222,0.4,0.6091370558375635,0.4827586206896552,0.6451612903225807,50,75,2,70,False
0.198,0.9722222222222222,0.4,0.6091370558375635,0.4827586206896552,0.6451612903225807,50,75,2,70,False
0.199,0.9722222222222222,0.408,0.6142131979695431,0.4861111111111111,0.6481481481481481,51,74,2,70,False
0.2,0.9722222222222222,0.408,0.6142131979695431,0.4861111111111111,0.6481481481481481,51,74,2,70,False
0.201,0.9722222222222222,0.408,0.6142131979695431,0.4861111111111111,0.6481481481481481,51,74,2,70,False
0.202,0.9722222222222222,0.408,0.6142131979695431,0.4861111111111111,0.6481481481481481,51,74,2,70,False
0.203,0.9722222222222222,0.408,0.6142131979695431,0.4861111111111111,0.6481481481481481,51,74,2,70,False
0.20400000000000001,0.9722222222222222,0.408,0.6142131979695431,0.4861111111111111,0.6481481481481481,51,74,2,70,False
0.20500000000000002,0.9722222222222222,0.408,0.6142131979695431,0.4861111111111111,0.6481481481481481,51,74,2,70,False
0.20600000000000002,0.9722222222222222,0.408,0.6142131979695431,0.4861111111111111,0.6481481481481481,51,74,2,70,False
0.20700000000000002,0.9583333333333334,0.408,0.6091370558375635,0.4825174825174825,0.641860465116279,51,74,3,69,False
0.20800000000000002,0.9583333333333334,0.408,0.6091370558375635,0.4825174825174825,0.641860465116279,51,74,3,69,False
0.209,0.9583333333333334,0.408,0.6091370558375635,0.4825174825174825,0.641860465116279,51,74,3,69,False
0.21,0.9583333333333334,0.408,0.6091370558375635,0.4825174825174825,0.641860465116279,51,74,3,69,False
0.211,0.9583333333333334,0.408,0.6091370558375635,0.4825174825174825,0.641860465116279,51,74,3,69,False
0.212,0.9583333333333334,0.408,0.6091370558375635,0.4825174825174825,0.641860465116279,51,74,3,69,False
0.213,0.9583333333333334,0.408,0.6091370558375635,0.4825174825174825,0.641860465116279,51,74,3,69,False
0.214,0.9583333333333334,0.408,0.6091370558375635,0.4825174825174825,0.641860465116279,51,74,3,69,False
0.215,0.9583333333333334,0.408,0.6091370558375635,0.4825174825174825,0.641860465116279,51,74,3,69,False
0.216,0.9583333333333334,0.408,0.6091370558375635,0.4825174825174825,0.641860465116279,51,74,3,69,False
0.217,0.9583333333333334,0.408,0.6091370558375635,0.4825174825174825,0.641860465116279,51,74,3,69,False
0.218,0.9583333333333334,0.408,0.6091370558375635,0.4825174825174825,0.641860465116279,51,74,3,69,False
0.219,0.9583333333333334,0.416,0.6142131979695431,0.4859154929577465,0.6448598130841121,52,73,3,69,False
0.22,0.9583333333333334,0.416,0.6142131979695431,0.4859154929577465,0.6448598130841121,52,73,3,69,False
0.221,0.9583333333333334,0.416,0.6142131979695431,0.4859154929577465,0.6448598130841121,52,73,3,69,False
0.222,0.9583333333333334,0.416,0.6142131979695431,0.4859154929577465,0.6448598130841121,52,73,3,69,False
0.223,0.9583333333333334,0.416,0.6142131979695431,0.4859154929577465,0.6448598130841121,52,73,3,69,False
0.224,0.9583333333333334,0.416,0.6142131979695431,0.4859154929577465,0.6448598130841121,52,73,3,69,False
0.225,0.9583333333333334,0.416,0.6142131979695431,0.4859154929577465,0.6448598130841121,52,73,3,69,False
0.226,0.9583333333333334,0.416,0.6142131979695431,0.4859154929577465,0.6448598130841121,52,73,3,69,False
0.227,0.9583333333333334,0.424,0.6192893401015228,0.48936170212765956,0.6478873239436619,53,72,3,69,False
0.228,0.9583333333333334,0.424,0.6192893401015228,0.48936170212765956,0.6478873239436619,53,72,3,69,False
0.229,0.9583333333333334,0.424,0.6192893401015228,0.48936170212765956,0.6478873239436619,53,72,3,69,False
0.23,0.9583333333333334,0.424,0.6192893401015228,0.48936170212765956,0.6478873239436619,53,72,3,69,False
0.231,0.9583333333333334,0.432,0.6243654822335025,0.4928571428571429,0.6509433962264151,54,71,3,69,False
0.232,0.9583333333333334,0.432,0.6243654822335025,0.4928571428571429,0.6509433962264151,54,71,3,69,False
0.233,0.9583333333333334,0.432,0.6243654822335025,0.4928571428571429,0.6509433962264151,54,71,3,69,False
0.234,0.9583333333333334,0.432,0.6243654822335025,0.4928571428571429,0.6509433962264151,54,71,3,69,False
0.23500000000000001,0.9583333333333334,0.432,0.6243654822335025,0.4928571428571429,0.6509433962264151,54,71,3,69,False
0.23600000000000002,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.23700000000000002,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.23800000000000002,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.23900000000000002,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.24,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.241,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.242,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.243,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.244,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.245,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.246,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.247,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.248,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.249,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.25,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.251,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.252,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.253,0.9583333333333334,0.44,0.6294416243654822,0.49640287769784175,0.6540284360189573,55,70,3,69,False
0.254,0.9583333333333334,0.448,0.6345177664974619,0.5,0.6571428571428571,56,69,3,69,False
0.255,0.9583333333333334,0.448,0.6345177664974619,0.5,0.6571428571428571,56,69,3,69,False
0.256,0.9583333333333334,0.448,0.6345177664974619,0.5,0.6571428571428571,56,69,3,69,False
0.257,0.9583333333333334,0.448,0.6345177664974619,0.5,0.6571428571428571,56,69,3,69,False
0.258,0.9583333333333334,0.448,0.6345177664974619,0.5,0.6571428571428571,56,69,3,69,False
0.259,0.9583333333333334,0.448,0.6345177664974619,0.5,0.6571428571428571,56,69,3,69,False
0.26,0.9583333333333334,0.464,0.6446700507614214,0.5073529411764706,0.6634615384615384,58,67,3,69,False
0.261,0.9583333333333334,0.464,0.6446700507614214,0.5073529411764706,0.6634615384615384,58,67,3,69,False
0.262,0.9583333333333334,0.464,0.6446700507614214,0.5073529411764706,0.6634615384615384,58,67,3,69,False
0.263,0.9583333333333334,0.464,0.6446700507614214,0.5073529411764706,0.6634615384615384,58,67,3,69,False
0.264,0.9583333333333334,0.464,0.6446700507614214,0.5073529411764706,0.6634615384615384,58,67,3,69,False
0.265,0.9583333333333334,0.464,0.6446700507614214,0.5073529411764706,0.6634615384615384,58,67,3,69,False
0.266,0.9583333333333334,0.464,0.6446700507614214,0.5073529411764706,0.6634615384615384,58,67,3,69,False
