threshold,sensitivity,specificity,accuracy,balanced_accuracy,precision,f1,tn,fp,fn,tp,meets_constraints
0.05856572836637497,0.9861111111111112,0.232,0.5076142131979695,0.6090555555555556,0.4251497005988024,0.594142259414226,29,96,1,71,False
0.06021030619740486,0.9861111111111112,0.24,0.5126903553299492,0.6130555555555556,0.42771084337349397,0.5966386554621849,30,95,1,71,False
0.060470059514045715,0.9861111111111112,0.248,0.5177664974619289,0.6170555555555556,0.4303030303030303,0.5991561181434599,31,94,1,71,False
0.061752624809741974,0.9861111111111112,0.256,0.5228426395939086,0.6210555555555556,0.4329268292682927,0.6016949152542374,32,93,1,71,False
0.06194882094860077,0.9722222222222222,0.256,0.5177664974619289,0.614111111111111,0.4294478527607362,0.5957446808510638,32,93,2,70,False
0.06253247708082199,0.9583333333333334,0.256,0.5126903553299492,0.6071666666666666,0.42592592592592593,0.5897435897435898,32,93,3,69,False
0.06451304256916046,0.9583333333333334,0.264,0.5177664974619289,0.6111666666666666,0.42857142857142855,0.592274678111588,33,92,3,69,False
0.06628929823637009,0.9583333333333334,0.272,0.5228426395939086,0.6151666666666666,0.43125,0.5948275862068966,34,91,3,69,False
0.07158287614583969,0.9583333333333334,0.28,0.5279187817258884,0.6191666666666666,0.4339622641509434,0.5974025974025975,35,90,3,69,False
0.07175087928771973,0.9583333333333334,0.288,0.5329949238578681,0.6231666666666666,0.43670886075949367,0.6,36,89,3,69,False
0.07293615490198135,0.9583333333333334,0.296,0.5380710659898477,0.6271666666666667,0.4394904458598726,0.6026200873362446,37,88,3,69,False
0.07478324323892593,0.9583333333333334,0.304,0.5431472081218274,0.6311666666666667,0.4423076923076923,0.6052631578947368,38,87,3,69,False
0.07769086211919785,0.9583333333333334,0.312,0.5482233502538071,0.6351666666666667,0.44516129032258067,0.6079295154185022,39,86,3,69,False
0.07803410291671753,0.9583333333333334,0.32,0.5532994923857868,0.6391666666666667,0.44805194805194803,0.6106194690265486,40,85,3,69,False
0.0781661793589592,0.9583333333333334,0.328,0.5583756345177665,0.6431666666666667,0.45098039215686275,0.6133333333333333,41,84,3,69,False
0.08182569593191147,0.9583333333333334,0.336,0.5634517766497462,0.6471666666666667,0.45394736842105265,0.6160714285714286,42,83,3,69,False
0.08210157603025436,0.9583333333333334,0.344,0.5685279187817259,0.6511666666666667,0.45695364238410596,0.6188340807174888,43,82,3,69,False
0.08468242734670639,0.9583333333333334,0.352,0.5736040609137056,0.6551666666666667,0.46,0.6216216216216216,44,81,3,69,False
0.0897793099284172,0.9583333333333334,0.36,0.5786802030456852,0.6591666666666667,0.46308724832214765,0.6244343891402715,45,80,3,69,False
0.09265437722206116,0.9583333333333334,0.368,0.583756345177665,0.6631666666666667,0.46621621621621623,0.6272727272727272,46,79,3,69,False
0.09505666047334671,0.9583333333333334,0.376,0.5888324873096447,0.6671666666666667,0.46938775510204084,0.6301369863013699,47,78,3,69,False
0.09673339128494263,0.9444444444444444,0.376,0.583756345177665,0.6602222222222223,0.4657534246575342,0.6238532110091743,47,78,4,68,False
0.10107330232858658,0.9444444444444444,0.384,0.5888324873096447,0.6642222222222223,0.4689655172413793,0.6267281105990783,48,77,4,68,False
0.10158803313970566,0.9444444444444444,0.392,0.5939086294416244,0.6682222222222223,0.4722222222222222,0.6296296296296297,49,76,4,68,False
0.1022103801369667,0.9444444444444444,0.4,0.5989847715736041,0.6722222222222223,0.4755244755244755,0.6325581395348837,50,75,4,68,False
0.10712440311908722,0.9444444444444444,0.408,0.6040609137055838,0.6762222222222222,0.4788732394366197,0.6355140186915887,51,74,4,68,False
0.11369282007217407,0.9444444444444444,0.416,0.6091370558375635,0.6802222222222222,0.48226950354609927,0.6384976525821596,52,73,4,68,False
0.11401352286338806,0.9444444444444444,0.424,0.6142131979695431,0.6842222222222222,0.4857142857142857,0.6415094339622641,53,72,4,68,False
0.11467649787664413,0.9444444444444444,0.432,0.6192893401015228,0.6882222222222222,0.4892086330935252,0.6445497630331753,54,71,4,68,False
0.11632894724607468,0.9444444444444444,0.44,0.6243654822335025,0.6922222222222222,0.4927536231884058,0.6476190476190476,55,70,4,68,False
0.11659150570631027,0.9444444444444444,0.448,0.6294416243654822,0.6962222222222222,0.49635036496350365,0.6507177033492823,56,69,4,68,False
0.11779961735010147,0.9444444444444444,0.456,0.6345177664974619,0.7002222222222222,0.5,0.6538461538461539,57,68,4,68,False
0.11824573576450348,0.9444444444444444,0.464,0.6395939086294417,0.7042222222222222,0.5037037037037037,0.6570048309178743,58,67,4,68,False
0.11829464137554169,0.9444444444444444,0.472,0.6446700507614214,0.7082222222222222,0.5074626865671642,0.6601941747572816,59,66,4,68,False
0.12254684418439865,0.9444444444444444,0.48,0.649746192893401,0.7122222222222222,0.5112781954887218,0.6634146341463415,60,65,4,68,False
0.1278565675020218,0.9444444444444444,0.488,0.6548223350253807,0.7162222222222222,0.5151515151515151,0.6666666666666666,61,64,4,68,False
0.12897785007953644,0.9444444444444444,0.496,0.6598984771573604,0.7202222222222222,0.5190839694656488,0.6699507389162561,62,63,4,68,False
0.13127675652503967,0.9444444444444444,0.504,0.6649746192893401,0.7242222222222222,0.5230769230769231,0.6732673267326732,63,62,4,68,False
0.1345570683479309,0.9444444444444444,0.512,0.6700507614213198,0.7282222222222222,0.5271317829457365,0.6766169154228856,64,61,4,68,False
